epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9050.13,0.61323,0.79838,0.86868,0.92816,0.72804,0.78156,0.65939,0.65313,0.84192,0.84354,0.000454338,0.000454338,0.000454338
43,9293.68,0.59859,0.80482,0.85922,0.92929,0.80961,0.86734,0.7145,0.73104,0.85438,0.857,0.000450175,0.000450175,0.000450175
44,9517.19,0.59711,0.78894,0.86211,0.94412,0.75917,0.82779,0.69205,0.69818,0.88654,0.84932,0.000446013,0.000446013,0.000446013
45,9726.58,0.60536,0.80714,0.86576,0.93734,0.5093,0.5764,0.49359,0.61837,0.8056,0.83482,0.00044185,0.00044185,0.00044185
46,9975.6,0.58338,0.72998,0.85669,0.93637,0.20016,0.29769,0.25293,0.69463,0.83408,0.85009,0.000437687,0.000437687,0.000437687
47,10250.9,0.60323,0.76646,0.86135,0.9442,0.42397,0.50561,0.39681,0.84612,0.89246,0.88764,0.000433525,0.000433525,0.000433525
48,10505,0.60979,0.75117,0.86425,0.94259,0.41192,0.49646,0.41419,0.68398,0.79112,0.84654,0.000429363,0.000429363,0.000429363
49,10748,0.58141,0.73075,0.85281,0.93679,0.35652,0.45088,0.38525,0.63253,0.81311,0.83836,0.0004252,0.0004252,0.0004252
50,10988.9,0.58659,0.72767,0.85839,0.9689,0.41966,0.50172,0.41672,0.7059,0.86045,0.85386,0.000421038,0.000421038,0.000421038
51,11244,0.5928,0.78145,0.86593,0.89973,0.37737,0.46241,0.37773,0.73879,0.83915,0.86015,0.000416875,0.000416875,0.000416875
52,11513.1,0.63788,0.79072,0.86966,0.93528,0.69414,0.75327,0.62754,0.67358,0.78998,0.84591,0.000412712,0.000412712,0.000412712
53,11812.2,0.6134,0.79356,0.86962,0.93124,0.23386,0.33373,0.28375,0.68458,0.80597,0.84739,0.00040855,0.00040855,0.00040855
54,12107.3,0.60085,0.74076,0.86109,0.91249,0.32679,0.42498,0.35456,0.67972,0.86199,0.84582,0.000404388,0.000404388,0.000404388
